"protein"	"G1_a_CM"	"G2_b_CP"	"G1_b_LP"	"G3_CT"	"G2_a_rep_YW"	"G4_rep_AP"	"GE2_a_EM"	"GE1_b_AW"	"G4_actually_GE2_b_by_CP"	"GE3_SG"	"GE4_MW"	"GE1_a_rep_JC"
"CON__ENSEMBL:ENSP00000377550;zz|ZZ_FGCZCont0057|"	7791600	18128000	0	0	2634800	0	0	0	0	0	0	0
"zz|ZZ_FGCZCont0179|;CON__P00761"	6.9621e+10	6.3014e+10	8.6653e+10	4.9537e+10	6.5111e+10	6.148e+10	6.2147e+10	6.0628e+10	7.6002e+10	7.2372e+10	5.4823e+10	6.0809e+10
"CON__P02533;zz|ZZ_FGCZCont0187|"	76983000	53625000	56718000	9682900	21388000	25386000	27780000	11145000	19159000	0	54744000	0
"zz|ZZ_FGCZCont0059|;zz|ZZ_FGCZCont0034|;CON__P02538;zz|ZZ_FGCZCont0236|;zz|ZZ_FGCZCont0173|;CON__P48668;CON__P04259;zz|ZZ_FGCZCont0157|;zz|ZZ_FGCZCont0143|;zz|ZZ_FGCZCont0033|;zz|ZZ_FGCZCont0038|"	69353000	168710000	41682000	7410200	132480000	4354900	34698000	31554000	11955000	0	61383000	11452000
"CON__P02662;zz|ZZ_FGCZCont0123|"	0	0	0	0	4554900	0	0	0	0	64468000	0	0
"zz|ZZ_FGCZCont0178|;zz|ZZ_FGCZCont0025|;CON__P04264;zz|ZZ_FGCZCont0077|"	3266700000	2076200000	4269500000	496430000	689820000	1224600000	1782700000	1.681e+09	1398600000	1173900000	3708400000	468940000
"zz|ZZ_FGCZCont0221|;zz|ZZ_FGCZCont0089|;CON__P08727"	6235600	12528000	14053000	0	0	0	3943900	0	0	4127500	0	19852000
"zz|ZZ_FGCZCont0188|;CON__P08779;zz|ZZ_FGCZCont0039|;zz|ZZ_FGCZCont0013|;zz|ZZ_FGCZCont0155|"	127460000	193970000	169600000	9675200	68886000	43537000	55212000	63908000	34590000	21265000	58210000	31329000
"zz|ZZ_FGCZCont0160|;zz|ZZ_FGCZCont0126|;CON__P13645;zz|ZZ_FGCZCont0030|;zz|ZZ_FGCZCont0158|;zz|ZZ_FGCZCont0045|"	1772300000	1274500000	2803600000	499020000	367450000	1284800000	1673400000	1025500000	921690000	1118200000	7608800000	560130000
"CON__P13647;zz|ZZ_FGCZCont0251|;zz|ZZ_FGCZCont0134|;zz|ZZ_FGCZCont0037|"	107280000	48070000	113910000	3072800	8977100	6164200	27606000	2362200	18804000	666430	65688000	1089700
"CON__P20930"	0	3610500	0	0	6619800	184010	0	0	0	0	0	0
"zz|ZZ_FGCZCont0099|;CON__P35527;zz|ZZ_FGCZCont0219|;zz|ZZ_FGCZCont0195|"	2265500000	1123900000	1436100000	256110000	227640000	432730000	786170000	675360000	966260000	402570000	391850000	182450000
"zz|ZZ_FGCZCont0146|;CON__P35908;zz|ZZ_FGCZCont0242|"	2018200000	692670000	3906300000	499040000	393830000	775840000	1231500000	1523100000	1056400000	1313500000	6041700000	578490000
"CON__P60712"	0	33681000	14638000	0	0	0	0	0	0	0	0	0
"CON__Q86YZ3"	9925900	3848200	36305000	1177900	1297700	3205700	3364100	6231500	4082000	3031300	941250	0
"REV__zz|ZZ_FGCZCont0061|;REV__CON__Q01546;REV__CON__Q8BGZ7"	42453000	0	0	8364900	11645000	31297000	0	0	0	0	7080700	24713000
"REV__CON__Q7Z3Y8"	1.145e+09	176040000	1990900000	350020000	292400000	501570000	669480000	299490000	546660000	350870000	781120000	4.85e+08
"REV__sp|P12753|RAD50_YEAST"	0	0	0	0	0	25192000	0	0	224180000	0	0	0
"REV__sp|P15274|AMPD_YEAST"	0	0	0	0	0	0	40536000	62584000	42404000	14936000	68318000	0
"REV__sp|P22082|SNF2_YEAST"	19108000	24276000	77045000	11030000	10245000	38833000	84110000	48973000	44800000	56622000	21848000	19250000
"REV__sp|P25386|USO1_YEAST"	40778000	19468000	13920000	13011000	2873400	49459000	11680000	26448000	6108500	6730900	4937700	0
"REV__sp|P32327|PYC2_YEAST;REV__sp|P11154|PYC1_YEAST"	3428600	87417000	12279000	24747000	3937500	3192700	1867200	4181100	918320	4379700	2521800	1667300
"REV__sp|P32639|BRR2_YEAST"	15092000	5132300	0	14685000	10915000	19303000	73967000	65787000	39859000	71856000	31859000	37503000
"REV__sp|P32660|ATC5_YEAST"	0	26007000	0	0	3497000	0	12344000	0	20456000	22556000	19915000	66946000
"REV__sp|P33441|MFT1_YEAST"	71116000	97874000	342510000	41721000	86302000	332080000	0	42935000	67816000	107870000	30526000	5155700
"REV__sp|P33750|SOF1_YEAST"	60443000	8100700	87923000	39598000	0	76256000	0	17581000	20822000	0	0	0
"REV__sp|P33892|GCN1_YEAST"	262730000	138720000	296420000	35674000	124300000	390810000	43662000	111550000	55825000	123660000	46385000	116990000
"REV__sp|P36022|DYHC_YEAST"	17929000	148970000	219390000	9819300	14933000	43093000	33711000	44265000	275190000	26454000	26154000	5126400
"REV__sp|P38111|ATR_YEAST"	35602000	12509000	58279000	5716200	16338000	28665000	47035000	127470000	50929000	149320000	55121000	27772000
"REV__sp|P38959|VPS41_YEAST"	9618900	131160000	39355000	3442400	0	12807000	193740000	103900000	176660000	142730000	186340000	124200000
"REV__sp|P40034|JHD1_YEAST"	68617000	0	299730000	42370000	193810000	227390000	27672000	0	0	18669000	58832000	46576000
"REV__sp|P40206|JLP2_YEAST"	318580000	491580000	693240000	442140000	241350000	596300000	540460000	1010200000	428480000	613980000	697810000	736670000
"REV__sp|P40467|ASG1_YEAST"	24841000	20340000	72879000	9114400	11749000	68554000	5524100	13083000	5761300	7222200	5720900	8153600
"REV__sp|P40850|MKT1_YEAST"	132870000	117920000	63643000	62884000	138590000	88781000	90835000	77197000	62767000	85019000	70238000	71237000
"REV__sp|P46987|YJS1_YEAST"	17442000	0	0	0	0	0	0	0	0	25515000	0	0
"REV__sp|P53552|THO2_YEAST"	4874800000	84987000	2.3512e+10	2006600	1158600000	2659600000	1276300000	3619300000	1145900000	1304300000	137680000	191210000
"REV__sp|Q03496|YM8B_YEAST"	59063000	9343700	97628000	7786200	8742500	37819000	5729100	86601000	4937000	9760300	30327000	27409000
"REV__sp|Q03722|YMC0_YEAST"	0	0	0	0	5243600	0	0	35801000	0	0	0	0
"REV__sp|Q06032|CST9_YEAST"	0	605880000	0	2135600	4813100	8124700	8901800	0	0	43183000	13493000	10729000
"REV__sp|Q12096|GNT1_YEAST"	0	24706000	0	18863000	10504000	0	104040000	71203000	84354000	290030000	286900000	27754000
"sp|O13297|CET1_YEAST"	17584000	13498000	104710000	0	1169400000	13362000	35273000	46435000	30350000	28388000	35969000	801410000
"sp|O13525|COQ4_YEAST"	3665800	0	0	1176800	0	0	0	0	0	3822100	2785300	4775700
"sp|P43538|YFG6_YEAST;sp|P38899|YH18_YEAST;sp|Q3E7Y5|YB111_YEAST;sp|Q08995|YP204_YEAST;sp|Q3E7X8|YE077_YEAST;sp|Q03099|YMN3_YEAST;sp|O13559|YRF14_YEAST;sp|P40105|YRF12_YEAST;sp|P40889|YJW5_YEAST;sp|P40434|YIR7_YEAST;sp|P24088|YRF11_YEAST;sp|P53819|YRF16_YEAST;sp|P53345|YRF13_YEAST;sp|P38721|YHF0_YEAST"	0	0	20451000	0	0	1121700	560320	0	0	0	0	0
"sp|O13563|RPN13_YEAST"	17083000	98240000	88231000	111800000	120470000	288020000	139180000	218210000	85798000	99774000	134370000	206010000
"sp|O13585|YP089_YEAST"	7992700	5138700	25737000	2914500	5118400	16909000	32104000	37796000	26798000	19375000	15081000	6615900
"sp|O14455|RL36B_YEAST"	2650900000	2009700000	1.9847e+10	1122100000	1280200000	2568400000	2674100000	2131500000	2445600000	2478100000	1.635e+09	1315800000
"sp|O14467|MBF1_YEAST"	1439700000	1.387e+09	3919200000	776450000	1007200000	1409500000	716620000	1181300000	661160000	835880000	761810000	827130000
"sp|O43137|YB085_YEAST"	20794000	10523000	0	12809000	9930800	25880000	95993000	51632000	64473000	71739000	111410000	22142000
"sp|O94742|SEM1_YEAST"	13297000	16760000	6367100	11810000	0	10725000	11454000	8801600	7228400	17646000	23985000	9279900
"sp|P00044|CYC1_YEAST"	82075000	26650000	263630000	29308000	40112000	66116000	624910000	878160000	608990000	954050000	981180000	522730000
"sp|P00128|QCR7_YEAST"	72191000	40283000	141360000	14714000	8403800	63515000	290270000	384750000	245970000	718360000	442150000	190700000
"sp|P00163|CYB_YEAST;sp|P03879|MBI4_YEAST;sp|P03873|MBI2_YEAST"	2141000	3191300	11414000	1696700	3802200	10646000	263550000	190770000	205180000	191050000	120800000	120920000
"sp|P00175|CYB2_YEAST"	0	0	40200000	0	0	0	148060000	145480000	126500000	162670000	133730000	68891000
"sp|P00330|ADH1_YEAST"	1.9824e+10	1.5717e+10	1.13e+11	9654500000	1.1233e+10	2.1932e+10	3.0645e+10	3.8623e+10	2.4931e+10	3.4027e+10	2.3675e+10	2.0301e+10
"sp|P00331|ADH2_YEAST"	259520000	72348000	156800000	156200000	232750000	258120000	1.2193e+10	1.5864e+10	9790600000	1.0493e+10	8624800000	7197700000
"sp|P00358|G3P2_YEAST"	1537400000	3.313e+09	1.6569e+10	1.4e+09	2169800000	2533600000	1643100000	3544500000	1695900000	2199100000	2883100000	3329200000
"sp|P00359|G3P3_YEAST"	4.4354e+10	4.837e+10	2.4e+11	2.0965e+10	2.9648e+10	4.9973e+10	4.169e+10	5.9226e+10	3.7598e+10	4.6819e+10	3.8451e+10	4.0782e+10
"sp|P00360|G3P1_YEAST"	2742800000	1596800000	1.8217e+10	1194900000	1321800000	2946300000	8970500000	1.1384e+10	7763600000	1.3333e+10	8455700000	5209700000
"sp|P00401|COX1_YEAST;sp|P03877|SCE3_YEAST;sp|P03878|SCE2_YEAST;sp|Q9ZZX1|SCE4_YEAST;sp|P03875|AI1M_YEAST;sp|P03876|AI2M_YEAST"	0	0	0	4261700	0	0	72275000	27201000	60857000	47458000	0	0
"sp|P00410|COX2_YEAST"	18897000	20915000	304710000	0	26410000	30919000	246540000	293210000	175290000	468570000	521320000	80406000
"sp|P00424|COX5A_YEAST"	14046000	6397000	138160000	0	0	0	156600000	81276000	207160000	225030000	156490000	71386000
"sp|P00425|COX5B_YEAST"	10700000	11030000	116090000	16854000	8023600	75017000	0	0	0	1600700	0	0
"sp|P00427|COX6_YEAST"	29427000	1489200	13296000	18802000	8708000	40802000	286010000	266750000	230260000	558650000	393550000	121860000
"sp|P00431|CCPR_YEAST"	454270000	184100000	826930000	227330000	298330000	571980000	567070000	1044600000	429340000	1592400000	1021700000	741890000
"sp|P00445|SODC_YEAST"	6062200000	3065800000	9422900000	2532700000	2.656e+09	5623100000	4.111e+09	6245900000	4286900000	8262500000	5.594e+09	4080600000
"sp|P00447|SODM_YEAST"	262550000	65488000	420750000	40305000	44027000	135280000	604690000	230420000	586080000	1120400000	865880000	302730000
"sp|P00498|HIS1_YEAST"	386530000	276600000	2802200000	194400000	260960000	531220000	346640000	428700000	233290000	297410000	232150000	194660000
"sp|P00546|CDC28_YEAST"	143530000	67906000	506750000	84787000	90292000	172740000	172760000	373710000	1.26e+08	166690000	128500000	150880000
"sp|P00560|PGK_YEAST"	5.2369e+10	3.2317e+10	2.24e+11	1.9722e+10	2.5868e+10	6.758e+10	3.1251e+10	7.1762e+10	2.5229e+10	6.2623e+10	4.4825e+10	2.8966e+10
"sp|P00724-2|INV2_YEAST;sp|P00724-1|INV2_YEAST"	4720900	14982000	65126000	5060200	8797200	5219100	153340000	146570000	157770000	95664000	40152000	60053000
"sp|P00729|CBPY_YEAST"	28516000	14981000	63326000	22031000	10976000	35512000	190240000	73003000	115350000	173240000	123640000	62604000
"sp|P00812|ARGI_YEAST"	177580000	129980000	776580000	73083000	74851000	248600000	131390000	281080000	207490000	343370000	275160000	133960000
"sp|P00815|HIS2_YEAST"	1432600000	1316400000	8936100000	830220000	1139900000	2.149e+09	1981800000	3577200000	1983600000	2.26e+09	1832400000	1596400000
"sp|P00817|IPYR_YEAST"	4064300000	3382200000	1.8446e+10	2.246e+09	3365200000	6532200000	3255500000	6917700000	3092600000	4251700000	3588900000	3.683e+09
"sp|P00830|ATPB_YEAST"	2448800000	1315300000	1.0187e+10	953050000	1228200000	3481900000	1.1024e+10	1.9732e+10	9336100000	2.8617e+10	1.657e+10	1.1566e+10
"sp|P00854|ATP6_YEAST"	9384700	2900500	60603000	5692600	3033100	0	451870000	176820000	355010000	276060000	410050000	132750000
"sp|P00890|CISY1_YEAST"	512670000	327020000	2911100000	179420000	253210000	754320000	7379400000	1.3368e+10	5548800000	1.4322e+10	1.1516e+10	7563300000
"sp|P00899|TRPE_YEAST"	296470000	400490000	2130600000	152340000	274190000	434530000	516750000	711440000	540310000	413480000	259010000	473340000
"sp|P00924|ENO1_YEAST"	1201500000	1563700000	1.6207e+10	615630000	816920000	1916900000	4175200000	1.325e+10	3300200000	8803700000	6320100000	4325800000
"sp|P00925|ENO2_YEAST"	6.1633e+10	4.9886e+10	3.1e+11	3.0927e+10	3.5973e+10	8.0055e+10	2.8123e+10	6.6651e+10	2.4299e+10	5.3419e+10	3.4975e+10	3.7128e+10
"sp|P00927|THDH_YEAST"	235580000	178190000	2126500000	88812000	139060000	277780000	258620000	442920000	233570000	360150000	271780000	195890000
"sp|P00931|TRP_YEAST"	1031400000	1002600000	4183600000	506570000	581330000	1451400000	1157200000	1527100000	848430000	1123200000	849080000	632320000
"sp|P00937|TRPG_YEAST"	300600000	284930000	840030000	104530000	155380000	267190000	311280000	470810000	249240000	237710000	222290000	234680000
"sp|P00942|TPIS_YEAST"	1.0221e+10	6932500000	4.5647e+10	4780200000	5146500000	1.288e+10	5.82e+09	9.849e+09	4763300000	1.5141e+10	8784800000	6445100000
"sp|P00950|PMG1_YEAST"	1.7248e+10	1.7964e+10	8.0027e+10	9385400000	9101100000	1.8468e+10	1.2184e+10	2.0865e+10	1.0555e+10	1.9081e+10	1.2931e+10	9.889e+09
"sp|P00958|SYMC_YEAST"	762570000	586750000	3047800000	264870000	437370000	1034700000	678570000	1154800000	561190000	481810000	481330000	406550000
"sp|P01094|IPA3_YEAST"	0	0	0	0	0	0	41933000	58824000	66683000	11919000	48273000	7307000
"sp|P01095|IPB2_YEAST"	87420000	25680000	88347000	55638000	34422000	91466000	1.015e+09	880700000	694530000	1000100000	1417200000	192380000
"sp|P01097|ATIF_YEAST"	6358400	4821100	0	10742000	4392400	0	210060000	224010000	225710000	300740000	301160000	67282000
"sp|P01098|STF1_YEAST"	5406100	6298500	0	0	5202500	0	35686000	17140000	41915000	43433000	49912000	39978000
"sp|P01119|RAS1_YEAST"	36904000	32578000	100140000	49018000	27371000	56140000	4580200	5816000	13837000	14550000	3938800	14867000
"sp|P01120|RAS2_YEAST"	435380000	375720000	1001600000	387700000	372060000	560320000	1131600000	1.512e+09	980500000	987860000	736720000	1020700000
"sp|P01123|YPT1_YEAST"	517790000	778750000	1772900000	356140000	382050000	849390000	1560900000	2000800000	1200100000	731150000	744850000	923270000
"sp|P02294|H2B2_YEAST;sp|P02293|H2B1_YEAST"	841810000	401590000	2423200000	463910000	449470000	777640000	1312400000	1364200000	1024600000	1082100000	834810000	745840000
"sp|P02309|H4_YEAST"	1657400000	920590000	8883600000	634830000	846500000	1682500000	5.632e+09	2878100000	3612600000	3584500000	2732800000	1720700000
"sp|P02365|RS6_YEAST"	5252900000	4092100000	2.0137e+10	3620500000	3.73e+09	5603500000	4533600000	5158400000	4544300000	3121800000	2832500000	2600600000
"sp|P02381|RMAR_YEAST"	7045200	3507000	18975000	0	0	5739800	15342000	20990000	15394000	7584000	6549400	6828300
"sp|P02400|RLA4_YEAST"	1073100000	412080000	1040100000	952780000	777620000	1200700000	814010000	926580000	990720000	1071700000	1580200000	366300000
"sp|P02405|RL44_YEAST"	60592000	219700000	1040400000	48896000	248120000	52426000	528180000	330080000	36628000	300350000	220720000	155890000
"sp|P02406|RL28_YEAST"	5447400000	2951100000	2.2982e+10	2723600000	3491800000	5374700000	4321200000	4635600000	3193500000	4166300000	2428300000	2002300000
"sp|P14127|RS17B_YEAST;sp|P02407|RS17A_YEAST"	4100800000	2664100000	2.8895e+10	2.467e+09	2974800000	5341400000	2274800000	3.917e+09	1.77e+09	1659400000	1613800000	1243400000
"sp|P02557|TBB_YEAST"	420480000	340190000	3569600000	287420000	262090000	918640000	328850000	564220000	340270000	798800000	569220000	354890000
"sp|P02829|HSP82_YEAST"	239920000	578960000	1285600000	589620000	297520000	415150000	1062600000	1335500000	724160000	931780000	1113500000	767520000
"sp|P02992|EFTU_YEAST"	254280000	270300000	2225700000	176260000	157090000	312220000	1.252e+09	1615500000	1.519e+09	1.544e+09	1253500000	1099900000
"sp|P02994|EF1A_YEAST"	4.2922e+10	4.2994e+10	1.7e+11	2.3733e+10	2.6969e+10	4.7812e+10	5.5248e+10	6.3719e+10	4.9345e+10	4.0228e+10	3.4343e+10	3.6021e+10
"sp|P03965|CARB_YEAST"	765140000	631020000	5136800000	325030000	420210000	1.213e+09	2461500000	2872400000	1927300000	2408900000	2263900000	1454900000
"sp|P04037|COX4_YEAST"	246830000	128370000	696260000	52009000	137970000	311370000	1930100000	3106900000	2055600000	2553500000	2354800000	2096200000
"sp|P04046|PUR1_YEAST"	130660000	192460000	1663800000	81074000	151970000	198820000	290750000	300880000	219390000	216690000	197330000	158370000
"sp|P04050|RPB1_YEAST"	405330000	332770000	2036100000	243140000	218200000	581700000	487750000	736150000	477160000	425110000	452840000	370670000
"sp|P04051|RPC1_YEAST"	849890	0	98708000	2604000	568930	14113000	3030600	6586500	7343300	653430	5088900	0
"sp|P04076|ARLY_YEAST"	596530000	489860000	2748300000	195250000	348370000	821430000	513810000	1550600000	368330000	1259700000	1039900000	616800000
"sp|P04147|PABP_YEAST"	4599500000	4411700000	1.5727e+10	2866600000	3388500000	5258200000	4214600000	5816100000	4201400000	4089300000	3173400000	3451700000
"sp|P04161|PUR3_YEAST"	340140	470050	47314000	1233900	0	2644100	0	1162500	2854900	4958000	2519900	741510
"sp|P04449|RL24A_YEAST"	161900000	198600000	1061500000	128150000	139080000	204130000	102380000	1.07e+08	65959000	37640000	47850000	63372000
"sp|P04451|RL23_YEAST"	1497700000	1023100000	1.1462e+10	689820000	707190000	1624500000	3185400000	1725800000	1961600000	1946600000	1518600000	796080000
"sp|P04456|RL25_YEAST"	4153600000	3786400000	2.755e+10	2914100000	3370700000	4452300000	6293900000	7060200000	5480900000	4689300000	3001600000	3796200000
